id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,not_compliant,status,inactive_loans,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
12436159,14448306,9600,9600,9600, 36 months,14.16,328.86,C,C2,Truck driver,3 years,MORTGAGE,100000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12436159,  Borrower added on 02/26/14 > Debt consolidation on other loans<br><br> Borrower added on 02/26/14 > Debt consolidation on higher interest loans and credit cards<br>,debt_consolidation,Debt consolidation,224xx,VA,8.35,0,20010201T000000,2,,48,6,1,7015,67,36,w,0,0,10525.4,10525.4,9600,925.37,0,0,0,20141201T000000,7894.49,,20150201T000000,0,44,1,0,Fully Paid,1,0,4,4,0.4,1,0,1,0,3.94632,20170201T000000,1,0,0
12385999,14398143,15000,15000,14950, 36 months,11.99,498.15,B,B3,Supervisor,8 years,MORTGAGE,50000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12385999,  Borrower added on 02/26/14 > i pay over $500 in payments to credit cards and have high interest rates on most. would like to payoff cards and have just one payment each month.<br>,debt_consolidation,Debt consolidation,851xx,AZ,16.47,1,20040301T000000,0,15,,15,0,15590,37.3,21,f,0,0,16099.6,16045.9,15000,1099.59,0,0,0,20141101T000000,12612.5,,20150201T000000,0,,1,0,Fully Paid,1,0,9,5,0.6,0,1,1,0,11.9556,20170201T000000,0,1,1
12396126,14408272,13925,13925,13925, 36 months,14.64,480.27,C,C3,,10+ years,MORTGAGE,35000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12396126,,debt_consolidation,Debt consolidation,197xx,DE,24.07,0,19970301T000000,2,36,,7,0,10900,66.1,25,w,0,0,14581.6,14581.6,13925,656.63,0,0,0,20140701T000000,13140.8,,20140701T000000,0,36,1,0,Fully Paid,1,0,11,4,0.6,1,1,1,0,16.4664,20170201T000000,0,1,0
12396113,14408259,28000,28000,28000, 36 months,12.49,936.57,B,B4,Vice President - Administration,7 years,OWN,311000,Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12396113,,debt_consolidation,Debt consolidation,420xx,KY,17.4,0,19960401T000000,3,,,14,0,7952,38.2,61,f,0,0,30139.5,30139.5,28000,2139.49,0,0,0,20141101T000000,23583.5,,20141101T000000,0,,1,0,Fully Paid,1,0,8,5,0.8,1,1,1,0,3.61377,20170201T000000,1,1,1
12456174,14468320,11400,11400,11400, 60 months,17.57,286.83,D,D2,Police officer,1 year,RENT,37000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12456174,"  Borrower added on 02/26/14 > Wanting to get on my little payments together under one, at a lower payment and interest rate<br>",debt_consolidation,Debt consolidation,284xx,NC,25.04,0,20001201T000000,0,78,74,10,1,10684,69.8,23,f,0,0,11895.5,11895.5,11400,495.46,0,0,0,20140501T000000,11321.8,,20140501T000000,0,,1,0,Fully Paid,1,0,2,3,0.4,1,0,1,0,9.30259,20190201T000000,0,0,1
12436129,14448277,5000,5000,5000, 36 months,14.64,172.45,C,C3,Store Manager,3 years,RENT,30000,Not Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12436129,,debt_consolidation,Debt consolidation,637xx,MO,14.48,0,20040701T000000,0,,,9,0,11157,61.3,16,f,0,0,1034.7,1034.7,689.43,345.27,0,0,0,20140901T000000,172.45,,20150101T000000,0,,1,0,Charged Off,1,1,4,4,0.6,1,1,1,0,6.898,20170201T000000,1,1,1
12396187,14408329,7550,7550,7550, 36 months,11.99,250.74,B,B3,Manager,10+ years,MORTGAGE,59581,Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12396187,,debt_consolidation,Debt consolidation,070xx,NJ,10.11,0,19960301T000000,0,81,,5,0,1404,21.9,34,w,0,0,8103.46,8103.46,7550,553.46,0,0,0,20141101T000000,6348.28,,20141101T000000,0,,1,0,Fully Paid,1,0,11,5,0.6,1,1,1,0,5.05007,20170201T000000,0,1,1
12436200,14448347,10625,10625,10625, 36 months,22.45,408.26,E,E5,third party resolution specialist,10+ years,RENT,49450,Source Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12436200,,debt_consolidation,Debt consolidation,553xx,MN,20.97,1,20030901T000000,2,19,,8,0,6977,89.4,15,f,0,0,816.52,816.52,422.89,393.63,0,0,0,20140501T000000,408.26,,20140801T000000,0,19,1,0,Charged Off,1,1,11,2,1,0,1,1,0,9.90722,20170201T000000,0,1,0
12416064,14428212,15000,15000,15000, 36 months,9.67,481.69,B,B1,E-5,10+ years,MORTGAGE,58164,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12416064,,debt_consolidation,Debt consolidation,765xx,TX,18.05,1,20030401T000000,1,22,,9,0,15445,74.6,33,w,0,0,15348.6,15348.6,15000,348.59,0,0,0,20140501T000000,13948.6,,20140501T000000,0,,1,0,Fully Paid,1,0,11,5,0.2,0,1,1,0,9.9379,20170201T000000,0,1,1
12446237,14458374,1500,1500,1500, 36 months,14.16,51.39,C,C2,Drlg Fluids Engineer,8 years,MORTGAGE,120000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12446237,,car,Car financing,789xx,TX,14.63,0,20060701T000000,0,34,113,12,1,11107,80.5,21,w,0,0,1551.91,1551.91,1500,51.91,0,0,0,20140601T000000,1449.13,,20140601T000000,0,73,1,0,Fully Paid,1,0,9,4,0.4,1,0,1,0,0.5139,20170201T000000,0,0,0
12446265,14458402,8000,8000,8000, 36 months,12.49,267.6,B,B4,IT Director,7 years,MORTGAGE,88088,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12446265,"  Borrower added on 02/26/14 > Purchase a new 2014 Honda motorcycle, helmet, jacket and boots.<br>",major_purchase,Major purchase,894xx,NV,8.42,0,20031201T000000,3,,,7,0,1137,9.3,21,w,0,0,8678.63,8678.63,8000,678.63,0,0,0,20141201T000000,6537.83,,20141101T000000,0,,1,0,Fully Paid,1,0,8,5,0.8,1,1,1,0,3.64545,20170201T000000,1,1,1
12164876,14157027,9000,9000,9000, 36 months,12.99,303.21,B,B5,Sales,8 years,MORTGAGE,95000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12164876,  Borrower added on 02/26/14 > I'll be consolidating credit card debt. Trying to get debt free (minus the mortgage) in the next 48 months.<br>,debt_consolidation,Debt consolidation,305xx,GA,11.93,1,20030101T000000,1,11,,11,0,8913,48.4,27,f,0,0,9957.02,9957.02,9000,957.02,0,0,0,20150201T000000,6924.92,,20150201T000000,0,,1,0,Fully Paid,1,0,9,5,1,0,1,1,0,3.83002,20170201T000000,0,1,1
12285745,14277894,10000,10000,9950, 36 months,12.99,336.9,B,B5,driver,2 years,RENT,65000,Not Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12285745,  Borrower added on 02/26/14 > We would like to pay off every revolving debt balance we have and be debt free in 3 yrs.<br>,debt_consolidation,Debt consolidation,484xx,MI,26.5,2,19960201T000000,0,16,,9,0,9317,66.1,42,f,0,0,1684.5,1676.08,1168.27,516.23,0,0,0,20140801T000000,336.9,,20141101T000000,0,19,1,0,Charged Off,1,1,3,5,1,0,1,1,0,6.21969,20170201T000000,0,1,0
11637271,13609464,5200,5200,5200, 36 months,20.49,194.56,E,E2,Production Manager ,1 year,OWN,20000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11637271,,other,Other,276xx,NC,5.52,0,20071201T000000,0,,,4,0,2351,24.5,4,f,0,0,5549.55,5549.55,5199.99,349.56,0,0,0,20140901T000000,71.31,,20150201T000000,0,,1,0,Fully Paid,1,0,2,2,0.4,1,1,1,0,11.6736,20170201T000000,1,1,1
11717158,13689333,6000,6000,6000, 36 months,15.61,209.79,C,C5,Ultrasound Technologist,5 years,RENT,55000,Not Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11717158,,debt_consolidation,Debt consolidation,622xx,IL,15.71,0,19930401T000000,2,,,22,0,20573,18.1,46,w,0,0,1678.32,1678.32,1103.17,575.15,0,0,0,20141101T000000,209.79,,20150101T000000,0,,1,0,Charged Off,1,1,6,4,1,1,1,1,0,4.57724,20170201T000000,1,1,1
11965676,13957829,25150,25150,25150, 36 months,15.61,879.37,C,C5,,5 years,MORTGAGE,60000,Not Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11965676,"  Borrower added on 02/26/14 > I would like to consolidate my bills , so I can maximize my savings and concentrate on paying one bill.<br>",debt_consolidation,Debt consolidation,146xx,NY,29.98,0,19990301T000000,1,30,,12,0,10731,52.1,41,f,0,0,4343.23,4343.23,552.21,327.16,0,3463.86,34.6386,20140401T000000,879.37,,20140801T000000,0,,1,0,Charged Off,1,1,6,4,1,1,1,1,0,17.5874,20170201T000000,0,1,1
12255011,14247162,10400,10400,10400, 36 months,18.92,380.81,D,D4,tech support manager,7 years,RENT,40000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12255011,,debt_consolidation,Debt consolidation,913xx,CA,21.57,0,20070901T000000,0,,,7,0,10532,60.2,10,w,0,0,12039.4,12039.4,10400,1639.37,0,0,0,20150201T000000,8231.27,,20150201T000000,0,,1,0,Fully Paid,1,0,8,3,0.8,1,1,1,0,11.4243,20170201T000000,1,1,1
12335719,14327878,22000,22000,22000, 60 months,19.47,576.4,D,D5,Application Packaging/Distribution Analy,10+ years,MORTGAGE,100000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12335719,,debt_consolidation,Debt consolidation,494xx,MI,13.79,1,20011201T000000,4,3,,11,0,28710,72.1,20,w,0,0,24752.6,24752.6,22000,2752.6,0,0,0,20141101T000000,20717.8,,20141101T000000,0,,1,0,Fully Paid,1,0,11,3,1,0,1,1,0,6.9168,20190201T000000,0,1,1
12247587,14239692,8100,8100,8100, 36 months,14.16,277.47,C,C2,Customer Relations,< 1 year,RENT,38500,Verified,20140301T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12247587,,debt_consolidation,Debt consolidation,370xx,TN,8.39,0,20001001T000000,2,,,7,0,8459,73.6,14,w,0,0,1387.35,1387.35,931.17,456.18,0,0,0,20140801T000000,277.47,,20150101T000000,0,,1,0,Charged Off,1,1,1,4,0.4,1,1,1,1,8.64842,20170301T000000,1,1,1
12476060,14488195,13875,13875,13875, 36 months,15.61,485.14,C,C5,EMT-I,9 years,RENT,33120,Source Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12476060,,debt_consolidation,Debt consolidation,240xx,VA,31.92,0,19970401T000000,1,,92,12,1,8969,46.2,30,f,0,0,1455.42,1455.42,925.89,529.53,0,0,0,20140601T000000,485.14,,20141101T000000,0,,1,0,Charged Off,1,1,10,4,1,1,0,1,0,17.5775,20170201T000000,1,0,1
12505905,14518046,25000,25000,25000, 60 months,19.99,662.21,E,E1,PROGRAMMING ENGINEER,10+ years,MORTGAGE,160000,Not Verified,20140301T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12505905,,credit_card,Credit card refinancing,018xx,MA,12.52,0,20010201T000000,2,,,34,0,38618,36.2,46,w,0,0,25416.5,25416.5,25000,416.46,0,0,0,20140401T000000,25416.5,,20141201T000000,0,,1,0,Fully Paid,1,0,11,2,0.2,1,1,1,0,4.96657,20190301T000000,1,1,1
12505723,14517867,4075,4075,4075, 36 months,18.92,149.21,D,D4,lpn,5 years,RENT,60000,Not Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12505723,,other,Other,104xx,NY,15.56,0,20031201T000000,1,30,,8,0,4183,76.1,21,f,0,0,853.91,853.91,171.26,127.16,0,555.49,5.5549,20140501T000000,149.21,,20140901T000000,0,30,1,0,Charged Off,1,1,6,3,0.8,1,1,1,0,2.9842,20170201T000000,0,1,0
12516053,14528199,4625,4625,4625, 36 months,14.64,159.52,C,C3,,n/a,MORTGAGE,11280,Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12516053,"  Borrower added on 02/26/14 > my loan is to consolodate my debts, having one payment and a lower payment help me so much. Thank You All So Much.<br>",debt_consolidation,Debt consolidation,328xx,FL,13.83,3,20070501T000000,1,18,109,7,1,2371,27.6,19,w,0,0,5097.62,5097.62,4625,472.62,0,0,0,20150101T000000,661.94,,20150101T000000,0,,1,0,Fully Paid,1,0,0,4,0.6,0,0,1,1,16.9702,20170201T000000,0,0,1
12516056,14528202,23125,23125,23125, 36 months,19.47,853.18,D,D5,contract support analyst,6 years,MORTGAGE,61000,Source Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12516056,,debt_consolidation,Debt consolidation,072xx,NJ,14.81,0,20081201T000000,0,,,8,0,10410,97.3,13,f,0,0,5119.08,5119.08,2986.74,2132.34,0,0,0,20140901T000000,853.18,,20150101T000000,0,,1,0,Charged Off,1,1,7,3,1,1,1,1,0,16.7839,20170201T000000,1,1,1
12506051,14518188,8800,8800,8800, 36 months,7.62,274.22,A,A3,Designer,3 years,MORTGAGE,68000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12506051,"  Borrower added on 02/26/14 > I would like to pay off an existing Lending Club loan with this loan. The interest is much better, and payments are much more manageable!<br>",debt_consolidation,Debt consolidation,191xx,PA,20.81,0,20000801T000000,3,,,13,0,10062,35.1,37,w,0,0,9201.6,9201.6,8800,401.6,0,0,0,20141001T000000,7556.28,,20141001T000000,0,,1,0,Fully Paid,1,0,4,6,0.6,1,1,1,0,4.83918,20170201T000000,1,1,1
12446053,14458186,16000,16000,16000, 60 months,25.8,477.16,G,G1,Director-Admin/FInance,10+ years,MORTGAGE,54000,Source Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12446053,,debt_consolidation,Debt consolidation,150xx,PA,25.58,0,19981101T000000,1,,102,16,1,17375,61.8,18,w,0,0,2862.96,2862.96,843.16,2019.8,0,0,0,20140901T000000,477.16,,20150101T000000,0,,1,0,Charged Off,1,1,11,0,0.2,1,0,1,0,10.6036,20190201T000000,1,0,1
12405981,14418128,8000,8000,8000, 36 months,14.16,274.05,C,C2,Eng Supervisor,10+ years,OWN,91000,Not Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12405981,,credit_card,Credit card refinancing,480xx,MI,22.61,1,19960101T000000,1,12,27,17,1,27076,51.8,38,f,0,0,1918.35,1918.35,1302.95,615.4,0,0,0,20141001T000000,274.05,,20150101T000000,0,12,1,0,Charged Off,1,1,11,4,0.4,0,0,1,0,3.61385,20170201T000000,0,0,0
11416411,13348604,2000,2000,2000, 36 months,16.59,70.9,D,D1,Development Permit Tech,10+ years,MORTGAGE,95000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11416411,,debt_consolidation,Debt consolidation,895xx,NV,11.45,1,19900201T000000,2,3,,11,0,20556,67.2,24,w,0,0,2081.15,2081.15,2000,81.15,0,0,0,20140601T000000,1939.35,,20140601T000000,0,,1,0,Fully Paid,1,0,11,3,0.2,0,1,1,0,0.895579,20170201T000000,0,1,1
12386039,14398181,9600,9600,9600, 36 months,13.65,326.48,C,C1,Lineman,< 1 year,MORTGAGE,65000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12386039,  Borrower added on 02/26/14 > Credit card consolidation<br>,debt_consolidation,Debt consolidation,879xx,NM,18.54,0,20040701T000000,1,,,11,0,10265,68,12,f,0,0,10624.5,10624.5,9600,1024.48,0,0,0,20150101T000000,7686.16,,20150201T000000,0,,1,0,Fully Paid,1,0,1,4,0.2,1,1,1,1,6.02732,20170201T000000,1,1,1
12456054,14468199,25000,25000,25000, 60 months,16.59,615.82,D,D1,director of case management,10+ years,MORTGAGE,111408,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12456054,,medical,Medical expenses,926xx,CA,8.05,0,20011101T000000,0,,,9,0,13342,40.4,20,w,0,0,25345.6,25345.6,25000,345.63,0,0,0,20140301T000000,25345.6,,20140301T000000,0,,1,0,Fully Paid,1,0,11,3,0.2,1,1,1,0,6.63313,20190201T000000,1,1,1
12446072,14458205,28000,28000,28000, 36 months,6.62,859.71,A,A2,Special Agent,4 years,RENT,85000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12446072,  Borrower added on 02/26/14 > Consolidate and close 3 credit cars<br>,debt_consolidation,Debt consolidation,941xx,CA,19.55,0,20000101T000000,0,,,8,0,26979,45.4,25,f,0,0,28154.5,28154.5,28000,154.47,0,0,0,20140401T000000,28154.5,,20140301T000000,0,,1,0,Fully Paid,1,0,5,6,0.4,1,1,1,0,12.1371,20170201T000000,1,1,1
12406106,14418254,12000,12000,12000, 36 months,15.31,417.81,C,C4,Customer Service Associate,7 years,MORTGAGE,30000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12406106,,debt_consolidation,Debt consolidation,322xx,FL,21.48,0,19961101T000000,1,,68,16,2,9945,40.4,41,w,0,0,12731.3,12731.3,12000,731.3,0,0,0,20140801T000000,11060.1,,20150101T000000,0,,1,0,Fully Paid,1,0,8,4,0.8,1,0,1,0,16.7124,20170201T000000,1,0,1
11986198,13978359,15000,15000,15000, 36 months,8.9,476.3,A,A5,Director of Ediscovery,2 years,MORTGAGE,135000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11986198,  Borrower added on 02/26/14 > Intend to use the money to consolidate a few credit cards which have a higher rate using this lower rate.  Job is stable and we were already paying this same amount monthly so this is a better deal.<br>,credit_card,Credit card refinancing,290xx,SC,8.11,0,19900101T000000,1,,,13,0,23342,77,25,w,0,0,15902.1,15902.1,15000,902.08,0,0,0,20141201T000000,12091.7,,20141201T000000,0,,1,0,Fully Paid,1,0,3,6,1,1,1,1,0,4.23378,20170201T000000,1,1,1
11444655,13376810,35000,35000,35000, 60 months,24.5,1017.07,F,F3,Executive Director,10+ years,MORTGAGE,169000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11444655,,other,Other,338xx,FL,7.73,0,19971101T000000,0,42,,10,0,11961,52.7,22,f,0,0,40380.5,40380.5,35000,5380.5,0,0,0,20141001T000000,34278.1,,20141001T000000,0,42,1,0,Fully Paid,1,0,11,1,0.6,1,1,1,0,7.2218,20190201T000000,0,1,0
12455979,14468122,25000,25000,24875, 36 months,7.9,782.26,A,A4,UPS Field Service Technician ,10+ years,MORTGAGE,85000,Verified,20140301T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12455979,,debt_consolidation,Debt consolidation,236xx,VA,22.61,0,19991001T000000,0,,,19,0,24973,43.5,32,f,0,0,26332.6,26200.9,25000,1332.59,0,0,0,20141201T000000,20074.5,,20141201T000000,0,,1,0,Fully Paid,1,0,11,6,0.8,1,1,1,0,11.0437,20170301T000000,1,1,1
12386029,14398171,12000,12000,12000, 36 months,12.99,404.27,B,B5,Manager,5 years,RENT,45000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12386029,  Borrower added on 02/26/14 > I would like to pay off my credit cards and have one monthly payment at a lower rate. My goal is to be debt free in the next two to three years.<br>,debt_consolidation,Debt consolidation,109xx,NY,10.69,1,20000301T000000,0,18,,11,0,8930,69.8,27,w,0,0,12954.2,12954.2,12000,954.21,0,0,0,20141101T000000,10124.3,,20150201T000000,0,32,1,0,Fully Paid,1,0,6,5,1,0,1,1,0,10.7805,20170201T000000,0,1,0
