URI,name,text
<http://dbpedia.org/resource/Esfandiar_Baharmast>,Esfandiar Baharmast,esfandiar baharmast born march 11 1954 is a retired iranianamerican football soccer referee best known for supervising two matches during the 1998 fifa world cup held in france at that tournament he was briefly vilified for giving a controversial late penalty to norway in the dying minutes of their firstround game with brazil only to be vindicated the following day when previously unseen tv footage from a new camera angle showed that he had made the correct decision and that norways striker tore andre flo had indeed had his jersey pulled by brazils defender jnior baianohe continued his involvement in refereeing by becoming the director of officials for us soccer in august 1998 he has been a member of concacaf referees committee since 2003 and a fifa instructoras a fifa instructor he has been involved in numerous tournaments such as fifa u17 world cup in finland 2003 fifa u20 world cups in netherlands 2005 and canada 2007 fifa world cup in germany 2006 and beijing olympic games in china 2008he is currently working for fifa as a technical instructor in the referee assistance program fifa rap and deals with the instruction and preparation of the referees for the 2010 world cup in south africa
<http://dbpedia.org/resource/Knut_T%C3%B8rum>,Knut T%C3%B8rum,knut kjartan trum born 16 august 1971 in bergen is a norwegian football coach hes a former manager for moss fk leading the team to the tippeliga playoffs in 2005 hes also a former assistant coach for stabk fotballin august 2006 trum at the time the clubs assistant coach took over as substitute headcoach for rosenborg after per mathias hgmo took a two month sick leave his takeover was very successful starting with eight league wins in a row a club record and earned trum the title coach of the month for august and october 2006 rosenborg stated that hgmo would return to his job as the clubs head coach after the season despite trums success trum led rosenborg in the last rounds of the premiership and secured rosenborg the goldmedals on 31 october per matias hgmo decided to retire as footballcoach and quit his job in rosenborg and trum was offered the job as new headcoach in rosenborg bk which he took trum was awarded coach of the year for 2006he was not able to gain the same success in the 2007 domestic season but rosenborg managed to qualify for the uefa champions league where the club impressed in the group stage with a 11 draw away against chelsea fc and beating valencia cf 20 twice he resigned the day after the latter match against valenciatrum was appointed as headcoach of ik start in december 2008 he resigned this position 22 june 2011 hours before a cup match against strmsgodset if after leaving his job at start trum and his family wanted to stay in kristiansand and in december 2011 he got a nonfootball job in kristiansand in january 2013 he was appointed as tor ole skulleruds assistant coach of the norwegian under21 teamhe has his education from the norwegian school of sport sciences
<http://dbpedia.org/resource/Birger_Ragnvald_Sevaldson>,Birger Ragnvald Sevaldson,birger sevaldson born 1953 brum norway dipl ncad mnil phd is a founding member and current chairman of ocean design research association and professor at the institute of industrial design at aho oslo school of architecture and design where he collaborates with prof michael ulrich henselhe is an academic and designer working in a broad field of design and architecture he has been in private practice since 1986 his practice spans from architecture interior to furniture and product design design of lighting armatures and boat design it also includes installationsbirger sevaldson has been developing concepts in design computing digital creativity in design and architecture digital morphogenesis and his doctoral thesis from 2005 is a summary of 15 years of research in this field this research expanded into a wider interest in the design process and especially design processes for uncertainty unforeseen futures and complexity this research grew out of the digital research and initially engaged in time related design reformulating the design environment and resulted in an approach entitled systems oriented designhe has been lecturing and teaching in norway europe asia and usa and has held a visiting professorship at nacd in oslo and has been a visiting critic at syracuse university school of architecture usa
<http://dbpedia.org/resource/Rachel_Stevens>,Rachel Stevens,rachel lauren stevens born 9 april 1978 is an english singersongwriter actress television presenter model and businesswoman she was a member of the pop group s club between 1999 and 2003 she released her solo debut studio album funky dory in september 2003 the album reached number nine on the uk album chart and the british phonographic industry bpi awarded it with a gold certification in october 2003 two singles sweet dreams my la ex and funky dory were initially released from the album sweet dreams my la ex peaked at number two in the uk and received a silver certification from the bpi in july 2004 stevens released the single some girls as a charity record for sport relief and the singles success prompted polydor to reissue funky dory with three new songs come and get it her second studio album was released in october 2005 it peaked at 28 in the uk and two of its three singles reached the top 10 between 2005 and 2008 stevens starred in some films including suzie gold spiderplant man deuce bigalow european gigolo and glendogie bogeyin 2008 she came second in the sixth series of the bbc one series strictly come dancing with her dance partner vincent simone on 16 november 2010 she gave birth to her first child amelie also in 2010 stevens cohosted the tv show britains got more talent since 2013 she is mentor assistant on the x factor new zealand in september 2013 stevens announced she was pregnant with her second child and gave birth to minnie on april 1 also in 2014 she was awarded fhms sexiest woman of all time stevens will take the role of coach in the 4th season of rtes the voice of ireland
<http://dbpedia.org/resource/Bamboo_(rapper)>,Bamboo (rapper),simon kimani more popularly known as bamboo is an emcee who represents kenya and currently lives in new york city he was raised in inglewood california by parents of east african descent and at the age of 17 his parents sent him to nairobi kenya to eschew the potentially dangerous life they feared he might have if he stayed in inglewood bamboo transferred the success he was beginning to have in california to nairobi acquiring a record deal and producing his first album nairoberry with his group ksouth in 2001 he formed the record label project 254 in nairobi with kenyan emcees tim waindi and attitude bamboo is also a member of the record label the grass company and he states that he intends to rerecord a previously released album exactly the way they did it in kenya but now with stateoftheart equipment in atlanta georgiabamboo was featured in the film hip hop colony as one of the premiere rappers from kenya and in a clip featuring himself and emcees big mike and attitude rapping over live guitar chords bamboos style combines american and kenyan content while being delivered in a markedly american accent and flow when asked about the majority of his songs being in english bamboo stated rapping in english is the only way to infiltrate the us rap game and get respect because without that respect no one will even bother with you
<http://dbpedia.org/resource/David_M._Patrick>,David M. Patrick,david m patrick born 1947 in devonshire is an english organist he was educated at exeter school and then pursued his musical education at the royal college of music in london with distinction winning the stuart prize for organ in 1967 and going on to gain the coveted walford davies prize the following year this award brought him prestigious recitals at both westminster cathedral and westminster abbey as well as the honour of being presented to queen elizabeth the queen motherhis early decision to specialise in the romantic and modern french repertoire followed logically from his impulse to accept the highest technical and artistic challenges which the organ presents of particular note was his recording of the complete works of maurice durufle made at coventry cathedral in 1996 this was a critics choice of the year in the bbc music magazine in 1997 and in the final list of three highly recommended recordings in the bbc programme building a library in may 2006david m patrick has performed public concerts at many major venues in great britain the usa canada and europe as well as numerous recitals for the bbc on significant british instruments patrick lived and worked in norway from 1996 until december 2012 when he returned to devon many of his recordings are available from amazon itunes and spotify
<http://dbpedia.org/resource/Martin_Garner>,Martin Garner,martin s garner is a british ornithologist and christian evangelist he lives in flamborough england he is married to sharon garner and they have two teenage daughters emily and abigailgarner worked as a pioneer evangelist for the wilson carlile college of evangelism a centre for the training of christian evangelists run by the church army an organisation within which he held the rank of captain in february 2007 he wrote a call for apostles today isbn 9781851746477 which argues that individual apostles and groups working in parallel with churches are a more effective way of promoting christianity than are churches alone he is also the director of the free spirit trust an organisation promoting christian missionary work and jointly runs the great apes website a website for apostles prophets and evangelistshis ornithological writing has included articles for british birds and birding world magazines he is credited with discovering the first british records of caspian gull in essex in the 1990s in 1997 with david quinn and bob glover garner published a twopart paper in british birds covering the identification of yellowlegged and caspian gulls which covered the former in far greater detail than any previous published work and contained the first detailed englishlanguage descriptions of the latter his first birdrelated book frontiers in birding isbn 9781898110477 was published by birdguides ltd in 2008 he is a member of the british birds rarities committee
<http://dbpedia.org/resource/Frances_Yip>,Frances Yip,frances yip laiyee born 1947 is a hong kong cantopop singer she is best known for performing many of the theme songs for television series produced by tvb in the 1980s and early 1990s but before then she served in the hong kong auxiliary police force due to her height and commanding voiceborn in 1947 frances is of hakka ancestry yip hit international fame with her signature tune the bund from the tvb drama of the same title before her success she tributed songs in her earlier albums originally performed by singers such as adam cheng roman tam and jenny tsengin her 45year career yip has released more than 80 albums mostly of songs in american english indonesian thai malay mexican spanish japanese tagalog cantonese and mandarin she has performed on television and in films concerts and cabarets in more than 30 countries on five continents her linguistic skills with unique interpretations of lyrics in english cantonese and mandarin as well as several other asian languages have led to a fan base across a wide range of cultures and countries she has worked with the hong kong philharmonic orchestra the vancouver symphony orchestra the hong kong chinese orchestra the macau chinese orchestra the singapore chinese orchestra the youth orchestra from the nanyang academy of fine arts singapore symphony orchestra and thammasat university philharmonic orchestra in bangkok as well as large orchestras in kuala lumpurfrances achieved worldwide recognition when she was selected by the hong kong government to be a copresenter at the british farewell ceremony to mark the transfer of sovereignty in hong kong the event on june 30th 1997 was watched by a television audience estimated at 120 million in more than 80 countries around the globeyip is fluent in chinese cantonese and mandarin and english she had overcame breast cancer in 2012
<http://dbpedia.org/resource/Scott_Leehy>,Scott Leehy,bernard scott leehy born 1962 is a judge of the louisiana fourth judicial district court bench in ouachita and morehouse parishes he was sworn into office on december 27 2006 leehy had been the monroe city court judge since 1997 a republican he defeated the democrat jay mitchell in the september 30 2006 nonpartisan blanket primary for the seat being vacated by the retiring judge jimmy dimos leehy polled 15494 votes 56 percent to mitchells 12121 ballots 44 percent leehy attributed his victory to a lot of hard work a lot of people poured blood sweat and tears into this campaign the unexpired term runs through december 31 2008 leehy was unopposed for a full term as judge in the 2008 electionsleehy won the election to the division b city judgeship on september 21 1996 he defeated a fellow republican george carso 6127 56 percent to 4736 44 percent he was reelected in 2002 without opposition from 19901997 leehy worked for the district attorneys office a special election was held on march 31 2007 to fill the remainder of leehys term as city judgean ouachita parish native leehy holds the distinguished alumni award from his alma mater west monroe high school he obtained his bachelors degree from the university of louisiana at monroe then known as northeast louisiana university he graduated from the mississippi college school of law in jackson mississippijudge leehy and his wife charlynn married in 1986 they have two children nicholas born 1992 and michael born 1996 they are members of jesus the good shepherd catholic church where he is a trustee he is a member of the judicial council of the louisiana supreme court and the louisiana bar association he is secretary of the louisiana city court judges association leehy is also a volunteer for the salvation army and a member of rotary international
<http://dbpedia.org/resource/Bruce_Miller_(politician)>,Bruce Miller (politician),bruce miller is a politician in alberta canada and former member of the legislative assembly of alberta for the constituency of edmontonglenora he was first elected on november 22 2004 as a liberal but was defeated in his 2008 reelection bid by progressive conservative heather klimchukhe has had a notable career as a churchman educator and community activistadvocate he received the queens jubilee award for community service in 2002 he cofounded the alberta quality of life commission in 1993 and served for many years as the vicepresident of the mahatma gandhi canadian foundation for world peaceas mla miller served as the deputy whip of the liberal caucus and authored a paper on reforming albertas welfare system he was also a member of the alberta governments affordable housing task force which travelled throughout alberta in 2007 researching the issue of housingmiller has also been an advocate for the communities of edmontonglenora he has presented before edmonton city council and the edmonton public school board representing communities facing major redevelopment projects and the possibility of school closures miller has also served on the conflicts of interest act review committee and the alberta legislatures policy field committee on managing growth pressuresdr miller graduated from carleton university with the ba degree in 1963 his graduate degrees include mdiv 1966 from westminster theological seminary in philadelphia stm 1967 from union theological seminary in new york and the phd 1984 from the divinity school of the university of chicago dr miller also did doctoral studies at the free university of amsterdam in 196970 from 1990 to the present he has been a fellow of the jesus seminar an international group of scholars focusing on the authentic words and deeds of jesusfrom 2004 to the present he has been an academic advisor for liberal studies in the faculty of extension of the university of alberta and has taught courses such as will the real jesus please stand up and symbols and myths in eastern religions
<http://dbpedia.org/resource/Richie_Reynolds>,Richie Reynolds,richard reynolds born 15 february 1948 is a former english professional footballer soccer player whose career ran from the mid1960s to the mid1970s born in looe reynolds won three england youth caps whilst with his first club plymouth argyle for whom he made his debut in an facup tie against derby county early in 1965 in all reynolds was to make over 100 appearances for the pilgrims and had a loan spell at yeovilbefore moving to portsmouth in the 1971 close season he was to prove such a popular player that in 1972 he was awarded the title of pompeys player of the year other strikers came and went during a turbulent era at the club but reynolds played on until the disastrous relegation season of 197576 his last game being in a 31 win at blackburn rovers in february 1976 reynolds left portsmouth after a football league tribunal in which reynolds was awarded a substantial amount of compensation for derogatory wages paid to him the tribunal also instructed portsmouth fc to release reynolds from his contract as they couldnt pay him he has never received the payment owing to him reynolds left portsmouth in february 1976 to sign for the dutch eerie division side fc haarlem reynolds career was cut short by a serious knee injury sustained playing against ajax amsterdam he later had spells as playermanager of non league chichester city 3 times petersfieldfareham town fc wick fc twice and newport iow
<http://dbpedia.org/resource/Christopher_H._Bidmead>,Christopher H. Bidmead,christopher hamilton bidmead born 18 january 1941 is a british writer and journalistbidmead trained as an actor at the royal academy of dramatic arts rada later playing several roles on stage television and radio by the early 1970s he was scriptwriting for thames television producing material for harriets back in town and rooms up until 1979 he was a journalistin 1979 robert banks stewart recommended him for the post of script editor on doctor who bidmead was primarily responsible for a back to basics approach for his yearlong tenure on doctor who attempting to curb the more playful and fantasy oriented approach of his predecessor douglas adams in favour of a more naturalistic and scientific style of presentation most noticeable in the more serious portrayal of tom bakers doctor this approach proved controversial and ratings suffered although this has been attributed to the tough timeslot for bidmeads season which saw the show competing against buck rogers in the 25th century on itv very much a product of its time bidmeads writings for doctor who demonstrate an increasing awareness of computer technology typified by his complex serial logopolis which served to write out the fourth doctor after a year as script editor he returned to freelance work this included writing two more doctor who serials for peter davisons doctor castrovalva and frontios as well as producing novelisations of all three of these doctor who storieshe has continued his career in computer journalism writing regularly as chris bidmead for personal computer world pc plus and other computer magazines and specialising in linux tools occasionally he has contributed more speculative or philosophical pieces for publications such as new scientist and recently he has worked as a journalist producing material for wired magazinein august 2006 it was announced in doctor who magazine that bidmead would be writing a doctor who audio play renaissance of the daleks for release through big finish productions in march 2007 an audio play with that title was subsequently released with a from a story by credit for bidmead in recent years he has contributed voiceover commentaries and interviews for numerous dvd releases of doctor who serials with which he was involved
<http://dbpedia.org/resource/Susanne_Uhlen>,Susanne Uhlen,susanne uhlen b january 17 1955 in potsdam germany is a german actress she is the daughter of actor wolfgang kieling best known as being the voice of bert of the sesame street duo bert and ernie and german actress gisela uhlen niece to german actor max schreck of nosferatu fame uhlen began her acting career by doing acting spots in commercials as a child and appeared in her first film at age 9 as a child she changed schools each year as her mother constantly had to relocate to keep up with acting commitments at 16 she married a fellow student but her mother became involved and ended the marriage she then married cameraman charly steinberger with whom she had one son by this time her acting career was flourishing but her marriage to steinberger ended shortly after the birth of their child in 1981 she met actor herbert herrmann with whom she would have a thirteenyear relationship producing one child she has starred in numerous successful german television series which she continues to do today along with many film and theater appearances in 1995 she met and became involved with her current partner henry dawidowicz a corporate manager for a cosmetics company
<http://dbpedia.org/resource/George_Tobin>,George Tobin,george tobin is an american record producer who has produced albums for a long list of musical artists including robert john smokey robinson kim carnes kicking harold and pc quest he is best known however for discovering managing and producing the teenage singer tiffany and showcasing her in malls across the country from the 1980s tobin owned a large recording studio complex in north hollywood california which was frequently rented by people making demo tapes and radio commercials tiffany was recording a demo at the studio at age 12 when tobin heard her and decided that she could be a star soon he was managing and producing her under tobins management tiffany released two very successful albums tiffany and hold an old friends hand and toured for two years with new kids on the block in 1993 she recorded one more album dreams never die under tobins productionin the 1990s he pursued business ventures in las vegas nevada including buying radio station kedg the edge by 2005 his businesses george tobin music and headliner records were based in las vegas and boca raton florida in 2005 tobin released tiffanys album dreams never die previously released only in asia adding six bonus tracks from early tiffany recording sessions at tobins studio he has recently signed 6 twenty to his label
